position,letter,freq_guess_list,freq_candidate_list
2,t,0.017234414972398006,0.03326133909287257
2,u,0.09209640500875185,0.08034557235421166
2,v,0.003837350208697994,0.0064794816414686825
2,w,0.011915982227009559,0.01900647948164147
2,x,0.004241281809613572,0.006047516198704104
2,y,0.020061936178807055,0.009935205183585313
2,z,0.0020196580045778916,0.0008639308855291577
3,a,0.09250033660966743,0.1326133909287257
3,b,0.02598626632556887,0.024622030237580993
3,c,0.031439342937929174,0.024190064794816415
3,d,0.031439342937929174,0.032397408207343416
3,e,0.06718728961895785,0.07645788336933046
3,f,0.013733674431129663,0.01079913606911447
3,g,0.028746465598491987,0.028941684665226782
3,h,0.009829002288945739,0.0038876889848812094
3,i,0.07896862797899555,0.11490280777537797
3,j,0.003971994075669854,0.0012958963282937365
3,k,0.022148916116870875,0.005183585313174946
3,l,0.06543691934832369,0.04838012958963283
3,m,0.03904672142183924,0.026349892008639308
3,n,0.07533324357075535,0.06004319654427646
3,o,0.07492931196983978,0.10539956803455723
3,p,0.028679143665006058,0.025053995680345574
3,q,0.001211794802746735,0.00043196544276457883
3,r,0.09115389793994884,0.07041036717062635
3,s,0.04126834522687491,0.03455723542116631
3,t,0.04948162111215834,0.04794816414686825
3,u,0.050760737848391004,0.07127429805615551
3,v,0.01871549750908846,0.021166306695464362
3,w,0.020533189713208562,0.01123110151187905
3,x,0.009829002288945739,0.005183585313174946
3,y,0.01656119563753871,0.012526997840172787
3,z,0.011108119025178402,0.004751619870410367
4,a,0.0887976302679413,0.07041036717062635
4,b,0.018984785243032178,0.010367170626349892
4,c,0.030698801669583952,0.06565874730021598
4,d,0.03709438535074727,0.029805615550755938
4,e,0.1703918136528881,0.13736501079913607
4,f,0.017369058839369865,0.01511879049676026
4,g,0.03278578160764777,0.03282937365010799
4,h,0.01905210717651811,0.012095032397408207
4,i,0.07055338629325435,0.06825053995680345
4,j,0.002827521206409048,0.0008639308855291577
4,k,0.03844082402046587,0.023758099352051837
4,l,0.058502760199272925,0.06997840172786177
4,m,0.029958260401238723,0.02937365010799136
4,n,0.0595799111350478,0.07861771058315335
4,o,0.055675238992863876,0.05701943844492441
4,p,0.031372021004443244,0.02159827213822894
4,q,0.00020196580045778916,0
4,r,0.05446344419011714,0.06565874730021598
4,s,0.039517974956240744,0.07386609071274298
4,t,0.06994748889188097,0.06004319654427646
4,u,0.03312239127507742,0.035421166306695465
4,v,0.011915982227009559,0.019870410367170625
4,w,0.00962703648848795,0.01079913606911447
4,x,0.0010098290022889458,0.0012958963282937365
4,y,0.008347919752255285,0.0012958963282937365
4,z,0.00976168035545981,0.008639308855291577
5,a,0.0595799111350478,0.027645788336933045
5,b,0.00471253534401508,0.004751619870410367
5,c,0.009829002288945739,0.013390928725701945
5,d,0.05883936986670257,0.050971922246220304
5,e,0.11700552039854585,0.18315334773218142
5,f,0.006395583681163323,0.01123110151187905
5,g,0.011512050626093982,0.017710583153347732
5,h,0.028813787531977917,0.06004319654427646
5,i,0.025716978591625153,0.004751619870410367
5,j,0.00020196580045778916,0
5,k,0.020869799380638213,0.04881209503239741
5,l,0.03628652214891612,0.06738660907127429
5,m,0.015282078901306045,0.01814254859611231
5,n,0.04160495489430457,0.056155507559395246
5,o,0.034064898343880434,0.025053995680345574
5,p,0.011108119025178402,0.024190064794816415
5,q,0.0003366096674296486,0
5,r,0.0496162649791302,0.09157667386609071
5,s,0.29210986939544903,0.015550755939524838
5,t,0.05352093712131412,0.10928725701943845
5,u,0.006462905614649253,0.00043196544276457883
5,v,0.0003366096674296486,0
5,w,0.004577891477043221,0.00734341252699784
5,x,0.005655042412818096,0.0034557235421166306
5,y,0.10280059243301468,0.1572354211663067
5,z,0.002760199272923118,0.0017278617710583153
